City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,78.71,scattered clouds,-23.1203,-134.9692,People ThankYou
1,Tvoroyri,FO,40.39,overcast clouds,61.5556,-6.8111,Hilmarsstova a Hobbit Hole
2,East London,ZA,78.73,clear sky,-33.0153,27.9116,Tu Casa
3,Geraldton,AU,70.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
6,Hilo,US,68.11,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
7,Saint-Philippe,RE,78.39,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
8,Roma,US,41.38,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
9,Zhanaozen,KZ,39.61,overcast clouds,43.3,52.8,K.korabay 28A
11,Hamilton,US,32.4,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
12,Vilhena,BR,82.62,broken clouds,-12.7406,-60.1458,Hotel Mirage
13,Jishou,CN,37.31,light rain,28.3167,109.7167,7 Days Inn
14,Ginda,IN,41.29,clear sky,30.6945,78.4932,Sunil Bisht
15,Trincomalee,LK,79.25,overcast clouds,8.5711,81.2335,Welcombe Hotel
16,Hithadhoo,MV,81.81,overcast clouds,-0.6,73.0833,Scoop Guest House
17,Jamestown,US,32.09,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
20,Kaitangata,NZ,50.94,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
21,Punta Arenas,CL,57.31,few clouds,-53.15,-70.9167,Hotel Hain
23,Yeppoon,AU,71.38,scattered clouds,-23.1333,150.7333,Villa Mar Colina
24,Ushuaia,AR,47.86,broken clouds,-54.8,-68.3,Albatross Hotel
26,Alugan,PH,77.74,overcast clouds,12.2188,125.4808,JM Lodge
27,Acajutla,SV,89.8,clear sky,13.5928,-89.8275,Laureles
31,Arraial Do Cabo,BR,82.36,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
32,Busselton,AU,57.09,clear sky,-33.65,115.3333,Observatory Guest House
33,Lebu,CL,68.86,clear sky,-37.6167,-73.65,Hostal Las Lilas
36,Ilulissat,GL,33.82,broken clouds,69.2167,-51.1,Hotel Arctic
37,Mataura,NZ,51.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
38,Avarua,CK,71.65,overcast clouds,-21.2078,-159.775,Paradise Inn
39,Cape Town,ZA,72.27,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
40,Te Anau,NZ,46.04,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
41,Sitka,US,39.09,light rain,57.0531,-135.33,Westmark Sitka
42,Hasaki,JP,30.6,scattered clouds,35.7333,140.8333,Hotel Sunrise Choshi
44,Westport,US,60.78,clear sky,41.1415,-73.3579,The Westport Inn
45,Margate,GB,42.96,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
46,Hofn,IS,26.44,overcast clouds,64.2539,-15.2082,Hótel Höfn
47,Alofi,NU,81.82,light rain,-19.0595,-169.9187,Taloa Heights
48,Bluff,NZ,51.8,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
49,Port Alfred,ZA,77.31,clear sky,-33.5906,26.891,The Halyards Hotel
50,Nicoya,CR,87.35,clear sky,10.1483,-85.452,Las Cabinas Del Sueño
51,Igboho,NG,94.21,scattered clouds,8.8333,3.75,More Hotet LTD
55,Svetlyy,RU,33.85,broken clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
57,Kapaa,US,66.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
58,Coihaique,CL,77.61,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
59,Carnarvon,AU,82.47,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
60,Demidov,RU,25.34,few clouds,55.2706,31.515,Mini-Hotel on Prosveshcheniya
61,Insar,RU,26.82,light snow,53.8653,44.3738,"Dom Otdykha ""Vasyuk"""
62,Nishihara,JP,69.08,mist,26.1842,127.7558,Minshuku Agaihama
