,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,78.71,72,38,16.31,scattered clouds
1,Tvoroyri,FO,61.5556,-6.8111,40.39,88,100,17.52,overcast clouds
2,East London,ZA,-33.0153,27.9116,78.73,84,0,16.06,clear sky
3,Geraldton,AU,-28.7667,114.6,70.21,78,5,10.36,clear sky
4,Albany,US,42.6001,-73.9662,52.09,44,99,1.99,overcast clouds
5,Talnakh,RU,69.4865,88.3972,-9.33,79,37,9.84,scattered clouds
6,Hilo,US,19.7297,-155.09,68.11,82,20,5.99,few clouds
7,Saint-Philippe,RE,-21.3585,55.7679,78.39,79,16,6.82,few clouds
8,Roma,US,43.2128,-75.4557,41.38,64,100,17.0,overcast clouds
9,Zhanaozen,KZ,43.3,52.8,39.61,82,86,7.99,overcast clouds
10,Yellowknife,CA,62.456,-114.3525,-23.58,87,0,3.44,clear sky
11,Hamilton,US,39.1834,-84.5333,32.4,80,100,11.5,overcast clouds
12,Vilhena,BR,-12.7406,-60.1458,82.62,74,75,12.66,broken clouds
13,Jishou,CN,28.3167,109.7167,37.31,99,100,1.36,light rain
14,Ginda,IN,30.6945,78.4932,41.29,38,0,7.65,clear sky
15,Trincomalee,LK,8.5711,81.2335,79.25,85,100,16.55,overcast clouds
16,Hithadhoo,MV,-0.6,73.0833,81.81,68,85,10.51,overcast clouds
17,Jamestown,US,42.097,-79.2353,32.09,63,100,17.27,overcast clouds
18,Kouqian,CN,43.6391,126.4578,1.69,98,56,2.08,broken clouds
19,Alekseyevsk,RU,57.8406,108.3492,-24.7,100,83,0.72,broken clouds
20,Kaitangata,NZ,-46.2817,169.8464,50.94,75,100,10.4,overcast clouds
21,Punta Arenas,CL,-53.15,-70.9167,57.31,44,20,41.43,few clouds
22,Superior,US,46.7208,-92.1041,0.48,56,0,6.91,clear sky
23,Yeppoon,AU,-23.1333,150.7333,71.38,77,39,17.83,scattered clouds
24,Ushuaia,AR,-54.8,-68.3,47.86,61,75,43.73,broken clouds
25,Thompson,CA,55.7435,-97.8558,-14.64,70,0,5.75,clear sky
26,Alugan,PH,12.2188,125.4808,77.74,87,100,12.88,overcast clouds
27,Acajutla,SV,13.5928,-89.8275,89.8,52,2,8.84,clear sky
28,Khatanga,RU,71.9667,102.5,-13.58,86,95,7.29,overcast clouds
29,Dzhuryn,UA,49.0329,25.5839,30.24,72,98,5.97,overcast clouds
30,Clyde River,CA,70.4692,-68.5914,-18.17,76,100,28.77,snow
31,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,69,40,9.22,scattered clouds
32,Busselton,AU,-33.65,115.3333,57.09,69,0,14.09,clear sky
33,Lebu,CL,-37.6167,-73.65,68.86,55,6,13.18,clear sky
34,Leningradskiy,RU,69.3833,178.4167,-22.13,98,98,4.43,overcast clouds
35,Zabaykalsk,RU,49.6333,117.3167,-20.06,100,41,3.53,scattered clouds
36,Ilulissat,GL,69.2167,-51.1,33.82,55,75,16.11,broken clouds
